seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters,reasoning_level
0,True,20,2,['B' 'A'],True,True,67,0
0,True,20,2,['B' 'A'],True,False,73,2
0,True,20,2,['B' 'A'],False,False,75,1
0,True,20,3,['A' 'A' 'B'],True,True,94,0
0,True,20,3,['A' 'A' 'B'],True,False,64,2
0,True,20,3,['A' 'A' 'B'],False,False,61,1
1,True,20,2,['B' 'B'],True,True,86,0
1,True,20,2,['B' 'B'],True,False,71,2
1,True,20,2,['B' 'B'],False,False,80,1
1,True,20,3,['B' 'B' 'A'],True,True,74,0
1,True,20,3,['B' 'B' 'A'],True,False,64,2
1,True,20,3,['B' 'B' 'A'],False,False,65,1
2,True,20,2,['A' 'A'],True,True,77,0
2,True,20,2,['A' 'A'],True,False,81,2
2,True,20,2,['A' 'A'],False,False,77,1
2,True,20,3,['A' 'A' 'A'],True,True,75,0
2,True,20,3,['A' 'A' 'A'],True,False,57,2
2,True,20,3,['A' 'A' 'A'],False,False,57,1
3,True,20,2,['A' 'B'],True,True,89,0
3,True,20,2,['A' 'B'],True,False,87,2
3,True,20,2,['A' 'B'],False,False,87,1
3,True,20,3,['A' 'A' 'A'],True,True,85,0
3,True,20,3,['A' 'A' 'A'],True,False,51,2
3,True,20,3,['A' 'A' 'A'],False,False,50,1
4,True,20,2,['B' 'A'],True,True,141,0
4,True,20,2,['B' 'A'],True,False,92,2
4,True,20,2,['B' 'A'],False,False,93,1
4,True,20,3,['B' 'A' 'B'],True,True,131,0
4,True,20,3,['B' 'A' 'B'],True,False,67,2
4,True,20,3,['B' 'A' 'B'],False,False,62,1
5,True,20,2,['B' 'A'],True,True,89,0
5,True,20,2,['B' 'A'],True,False,78,2
5,True,20,2,['B' 'A'],False,False,72,1
5,True,20,3,['B' 'A' 'B'],True,True,100,0
5,True,20,3,['B' 'A' 'B'],True,False,58,2
5,True,20,3,['B' 'A' 'B'],False,False,65,1
6,True,20,2,['B' 'B'],True,True,114,0
6,True,20,2,['B' 'B'],True,False,96,2
6,True,20,2,['B' 'B'],False,False,85,1
6,True,20,3,['B' 'B' 'B'],True,True,90,0
6,True,20,3,['B' 'B' 'B'],True,False,68,2
6,True,20,3,['B' 'B' 'B'],False,False,65,1
7,True,20,2,['A' 'B'],True,True,120,0
7,True,20,2,['A' 'B'],True,False,84,2
7,True,20,2,['A' 'B'],False,False,84,1
7,True,20,3,['A' 'B' 'B'],True,True,79,0
7,True,20,3,['A' 'B' 'B'],True,False,68,2
7,True,20,3,['A' 'B' 'B'],False,False,97,1
8,True,20,2,['B' 'A'],True,True,60,0
8,True,20,2,['B' 'A'],True,False,98,2
8,True,20,2,['B' 'A'],False,False,98,1
8,True,20,3,['B' 'A' 'B'],True,True,56,0
8,True,20,3,['B' 'A' 'B'],True,False,62,2
8,True,20,3,['B' 'A' 'B'],False,False,61,1
9,True,20,2,['B' 'B'],True,True,75,0
9,True,20,2,['B' 'B'],True,False,113,2
9,True,20,2,['B' 'B'],False,False,89,1
9,True,20,3,['B' 'B' 'B'],True,True,74,0
9,True,20,3,['B' 'B' 'B'],True,False,56,2
9,True,20,3,['B' 'B' 'B'],False,False,160,1
