seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters,reasoning_level
0,True,20,2,['B' 'A'],True,True,67,0
0,True,20,2,['B' 'A'],True,False,81,2
0,True,20,2,['B' 'A'],False,False,82,1
0,True,20,3,['A' 'A' 'B'],True,True,94,0
0,True,20,3,['A' 'A' 'B'],True,False,72,2
0,True,20,3,['A' 'A' 'B'],False,False,73,1
1,True,20,2,['B' 'B'],True,True,86,0
1,True,20,2,['B' 'B'],True,False,110,2
1,True,20,2,['B' 'B'],False,False,85,1
1,True,20,3,['B' 'B' 'A'],True,True,74,0
1,True,20,3,['B' 'B' 'A'],True,False,56,2
1,True,20,3,['B' 'B' 'A'],False,False,57,1
2,True,20,2,['A' 'A'],True,True,77,0
2,True,20,2,['A' 'A'],True,False,51,2
2,True,20,2,['A' 'A'],False,False,52,1
2,True,20,3,['A' 'A' 'A'],True,True,75,0
2,True,20,3,['A' 'A' 'A'],True,False,75,2
2,True,20,3,['A' 'A' 'A'],False,False,75,1
3,True,20,2,['A' 'B'],True,True,89,0
3,True,20,2,['A' 'B'],True,False,69,2
3,True,20,2,['A' 'B'],False,False,81,1
3,True,20,3,['A' 'A' 'A'],True,True,85,0
3,True,20,3,['A' 'A' 'A'],True,False,84,2
3,True,20,3,['A' 'A' 'A'],False,False,58,1
4,True,20,2,['B' 'A'],True,True,141,0
4,True,20,2,['B' 'A'],True,False,90,2
4,True,20,2,['B' 'A'],False,False,83,1
4,True,20,3,['B' 'A' 'B'],True,True,131,0
4,True,20,3,['B' 'A' 'B'],True,False,73,2
4,True,20,3,['B' 'A' 'B'],False,False,98,1
5,True,20,2,['B' 'A'],True,True,89,0
5,True,20,2,['B' 'A'],True,False,68,2
5,True,20,2,['B' 'A'],False,False,75,1
5,True,20,3,['B' 'A' 'B'],True,True,100,0
5,True,20,3,['B' 'A' 'B'],True,False,73,2
5,True,20,3,['B' 'A' 'B'],False,False,83,1
6,True,20,2,['B' 'B'],True,True,114,0
6,True,20,2,['B' 'B'],True,False,141,2
6,True,20,2,['B' 'B'],False,False,96,1
6,True,20,3,['B' 'B' 'B'],True,True,90,0
6,True,20,3,['B' 'B' 'B'],True,False,100,2
6,True,20,3,['B' 'B' 'B'],False,False,123,1
7,True,20,2,['A' 'B'],True,True,120,0
7,True,20,2,['A' 'B'],True,False,67,2
7,True,20,2,['A' 'B'],False,False,79,1
7,True,20,3,['A' 'B' 'B'],True,True,79,0
7,True,20,3,['A' 'B' 'B'],True,False,76,2
7,True,20,3,['A' 'B' 'B'],False,False,63,1
8,True,20,2,['B' 'A'],True,True,60,0
8,True,20,2,['B' 'A'],True,False,91,2
8,True,20,2,['B' 'A'],False,False,94,1
8,True,20,3,['B' 'A' 'B'],True,True,56,0
8,True,20,3,['B' 'A' 'B'],True,False,74,2
8,True,20,3,['B' 'A' 'B'],False,False,92,1
9,True,20,2,['B' 'B'],True,True,75,0
9,True,20,2,['B' 'B'],True,False,106,2
9,True,20,2,['B' 'B'],False,False,94,1
9,True,20,3,['B' 'B' 'B'],True,True,74,0
9,True,20,3,['B' 'B' 'B'],True,False,111,2
9,True,20,3,['B' 'B' 'B'],False,False,82,1
