seed,goal_converged,agent_types,prior,use_ep,avg_nrg_over_time,ending_energy,num_iters
0,1,"['A', 'A', 'B']","[array([0.20511715, 0.79488285]), array([0.20045242, 0.79954758]), array([0.48772914, 0.51227086])]",True,"[[0.6684883275301171, 0, 0], [0.6702544550045465, 1, 0], [0.6730217564270028, 2, 0], [0.6563125042969623, 0, 1], [0.6552403486697466, 1, 1], [0.6639580843576932, 2, 1], [0.6442534743532742, 0, 2], [0.6418735362118357, 1, 2], [0.6535728963400202, 2, 2], [0.629979392924973, 0, 3], [0.6258987999941303, 1, 3], [0.6402974500338872, 2, 3], [0.6114816575194864, 0, 4], [0.6068555345148028, 1, 4], [0.624224356867683, 2, 4], [0.58778574984535, 0, 5], [0.5825996503774231, 1, 5], [0.6037037021913733, 2, 5], [0.5581370742840395, 0, 6], [0.5523685905660537, 1, 6], [0.579604884554111, 2, 6], [0.5261875091003732, 0, 7], [0.5199174979956632, 1, 7], [0.5593044470748412, 2, 7], [0.49289874072049994, 0, 8], [0.4854874510755935, 1, 8], [0.5369549521861733, 2, 8], [0.4630702884738616, 0, 9], [0.45401396845828235, 1, 9], [0.5099226316811737, 2, 9], [0.43727660333277796, 0, 10], [0.41518842928507355, 1, 10], [0.4802264002713749, 2, 10], [0.42823310202434783, 0, 11], [0.3866291896071215, 1, 11], [0.4479230372163313, 2, 11], [0.4105396835856306, 0, 12], [0.36724835224167773, 1, 12], [0.43222328337002086, 2, 12], [0.39274710553035935, 0, 13], [0.3518832176923444, 1, 13], [0.41687372081715823, 2, 13], [0.3803471508980379, 0, 14], [0.3515471177608616, 1, 14], [0.405914842917906, 2, 14], [0.37621799570950576, 0, 15], [0.3501992848141445, 1, 15], [0.39986951056303854, 2, 15], [0.37120647887283537, 0, 16], [0.3464527588547612, 1, 16], [0.3977985555840001, 2, 16]]","[0.37120647887283537, 0.3464527588547612, 0.3977985555840001]",16
0,1,"['A', 'A', 'B']","[array([0.21295525, 0.78704475]), array([0.20177889, 0.79822111]), array([0.48772914, 0.51227086])]",False,"[[0.6679308531991919, 0, 0], [0.6698595500346398, 1, 0], [0.6730217564270028, 2, 0], [0.6568040346401556, 0, 1], [0.6558852715419435, 1, 1], [0.6639580843576932, 2, 1], [0.6449545715823839, 0, 2], [0.6426760480042546, 1, 2], [0.6535728963400202, 2, 2], [0.6308008888748938, 0, 3], [0.6268341410573464, 1, 3], [0.6402974500338872, 2, 3], [0.6124299586125508, 0, 4], [0.6079108332891259, 1, 4], [0.624224356867683, 2, 4], [0.5888311648720984, 0, 5], [0.5837222130542654, 1, 5], [0.6037037021913733, 2, 5], [0.5590723782220303, 0, 6], [0.5533084904940898, 1, 6], [0.579604884554111, 2, 6], [0.5242371173255446, 0, 7], [0.5177734569188817, 1, 7], [0.5593044470748412, 2, 7], [0.49380143533847476, 0, 8], [0.4862762919338611, 1, 8], [0.5369549521861733, 2, 8], [0.4628173180082188, 0, 9], [0.4534953790000464, 1, 9], [0.5099226316811737, 2, 9], [0.4384980433518761, 0, 10], [0.41605756472105465, 1, 10], [0.4802264002713749, 2, 10], [0.43828812309605597, 0, 11], [0.38728508165239545, 1, 11], [0.4479230372163313, 2, 11], [0.420699388076101, 0, 12], [0.36787979902833445, 1, 12], [0.43222328337002086, 2, 12], [0.40274088501930205, 0, 13], [0.3518988350238731, 1, 13], [0.41687372081715823, 2, 13], [0.3901719398625747, 0, 14], [0.352096735048387, 1, 14], [0.405914842917906, 2, 14], [0.38511716573837146, 0, 15], [0.35077156997347386, 1, 15], [0.39986951056303854, 2, 15], [0.38128926658120105, 0, 16], [0.34818497533169235, 1, 16], [0.3977985555840001, 2, 16]]","[0.38128926658120105, 0.34818497533169235, 0.3977985555840001]",16
1,0,"['A', 'A', 'B']","[array([0.78547488, 0.21452512]), array([0.79578905, 0.20421095]), array([0.5264886, 0.4735114])]",True,"[[0.6621734903894324, 0, 0], [0.6662310506162102, 1, 0], [0.6665123994097579, 2, 0], [0.6021130154754657, 0, 1], [0.597782329303944, 1, 1], [0.609470050003573, 2, 1], [0.5681081012969079, 0, 2], [0.5471412134985943, 1, 2], [0.5615738959612889, 2, 2], [0.5393299503855024, 0, 3], [0.507239910895113, 1, 3], [0.5223599666143357, 2, 3], [0.5039834854861578, 0, 4], [0.47819783613188205, 1, 4], [0.48903420325632074, 2, 4], [0.4642456841433072, 0, 5], [0.4430269874339091, 1, 5], [0.4560923758217308, 2, 5], [0.42490244713839403, 0, 6], [0.4191758328365419, 1, 6], [0.4138969001692345, 2, 6], [0.40174819051781885, 0, 7], [0.39969412053297365, 1, 7], [0.39248205224049837, 2, 7], [0.3773911159764257, 0, 8], [0.38266919977073977, 1, 8], [0.37284119443364033, 2, 8], [0.3568483952419102, 0, 9], [0.3623319714770506, 1, 9], [0.36451313389660167, 2, 9], [0.3489153554311201, 0, 10], [0.3592697436919891, 1, 10], [0.382581449041377, 2, 10], [0.3489169243230807, 0, 11], [0.3580515187819757, 1, 11], [0.3872686104160166, 2, 11], [0.3600942808803718, 0, 12], [0.3582208224433361, 1, 12], [0.38778943598984295, 2, 12]]","[0.3600942808803718, 0.3582208224433361, 0.38778943598984295]",12
1,0,"['A', 'A', 'B']","[array([0.77962591, 0.22037409]), array([0.79138341, 0.20861659]), array([0.5264886, 0.4735114])]",False,"[[0.6624644780144892, 0, 0], [0.6671623893736324, 1, 0], [0.6665123994097579, 2, 0], [0.6154552227908997, 0, 1], [0.6112459911241245, 1, 1], [0.609470050003573, 2, 1], [0.5849656286495912, 0, 2], [0.5642994984978519, 1, 2], [0.5615738959612889, 2, 2], [0.5583432910030376, 0, 3], [0.5264352588320967, 1, 3], [0.5223599666143357, 2, 3], [0.5249222630921869, 0, 4], [0.4988530699598113, 1, 4], [0.48903420325632074, 2, 4], [0.48684642501452285, 0, 5], [0.4647866890003787, 1, 5], [0.4560923758217308, 2, 5], [0.4483262411260105, 0, 6], [0.44228305367870674, 1, 6], [0.4138969001692345, 2, 6], [0.4255152477561734, 0, 7], [0.42320630044556856, 1, 7], [0.39248205224049837, 2, 7], [0.40083116253300993, 0, 8], [0.4060629105522602, 1, 8], [0.37284119443364033, 2, 8], [0.37840805656030485, 0, 9], [0.3838715435809118, 1, 9], [0.36451313389660167, 2, 9], [0.35703185978823365, 0, 10], [0.3671934560313394, 1, 10], [0.382581449041377, 2, 10], [0.3554295155147714, 0, 11], [0.3632082464573245, 1, 11], [0.3872686104160166, 2, 11], [0.3668324779302017, 0, 12], [0.3633491032375824, 1, 12], [0.38778943598984295, 2, 12]]","[0.3668324779302017, 0.3633491032375824, 0.38778943598984295]",12
2,1,"['A', 'A', 'B']","[array([0.20544844, 0.79455156]), array([0.21067393, 0.78932607]), array([0.48676333, 0.51323667])]",True,"[[0.6877245003841185, 0, 0], [0.687165815101902, 1, 0], [0.6854306797918054, 2, 0], [0.6741531694777814, 0, 1], [0.6708562382827091, 1, 1], [0.6696521750623838, 2, 1], [0.6526131474581897, 0, 2], [0.646335286120292, 1, 2], [0.6464982691743388, 2, 2], [0.6195347230093694, 0, 3], [0.61357456029679, 1, 3], [0.616981510272358, 2, 3], [0.5803528667913107, 0, 4], [0.5720121177594294, 1, 4], [0.5800813627794208, 2, 4], [0.533542690639353, 0, 5], [0.5267147470414479, 1, 5], [0.5421287177225665, 2, 5], [0.4970734226948933, 0, 6], [0.4798605664877246, 1, 6], [0.5015916370465588, 2, 6], [0.4546673819668052, 0, 7], [0.43675323402738697, 1, 7], [0.49045597684785025, 2, 7], [0.44449942222323585, 0, 8], [0.41497817319465163, 1, 8], [0.47422748005605075, 2, 8], [0.4329713747561968, 0, 9], [0.39850832414359894, 1, 9], [0.46190661888023626, 2, 9], [0.4144196266268131, 0, 10], [0.3766856119138137, 1, 10], [0.44837793719315827, 2, 10], [0.39436041763208846, 0, 11], [0.35589641057883853, 1, 11], [0.4320144709359609, 2, 11], [0.3739302339706496, 0, 12], [0.3446090243188659, 1, 12], [0.41171351136519396, 2, 12], [0.35924609483518344, 0, 13], [0.3425652877351807, 1, 13], [0.40189314415180954, 2, 13], [0.35313330994832676, 0, 14], [0.3399073558343454, 1, 14], [0.40016909508377413, 2, 14], [0.350351139858796, 0, 15], [0.33768515933776005, 1, 15], [0.3962383104969679, 2, 15]]","[0.350351139858796, 0.33768515933776005, 0.3962383104969679]",15
2,1,"['A', 'A', 'B']","[array([0.21622761, 0.78377239]), array([0.19825838, 0.80174162]), array([0.47834859, 0.52165141])]",False,"[[0.689908268875449, 0, 0], [0.688908185908581, 1, 0], [0.6854306797918054, 2, 0], [0.6862317335581377, 0, 1], [0.690225256342335, 1, 1], [0.6889048358017609, 2, 1], [0.6701082873484021, 0, 2], [0.6705109113295374, 1, 2], [0.6696084182922775, 2, 2], [0.6440478917580608, 0, 3], [0.6423559956915303, 1, 3], [0.6447409990603499, 2, 3], [0.609423247951635, 0, 4], [0.6044257650247932, 1, 4], [0.6136205242076604, 2, 4], [0.567364692551561, 0, 5], [0.5602696439738769, 1, 5], [0.5817868947227608, 2, 5], [0.5200790222440694, 0, 6], [0.5151709126277713, 1, 6], [0.5436879105771107, 2, 6], [0.4711779313659494, 0, 7], [0.4637830865786758, 1, 7], [0.5165359821926128, 2, 7], [0.4387456252923175, 0, 8], [0.4311639062651311, 1, 8], [0.4921813690764528, 2, 8], [0.4460301802878431, 0, 9], [0.4005738857762229, 1, 9], [0.45406891316954145, 2, 9], [0.4289349801908667, 0, 10], [0.3776750885513006, 1, 10], [0.4367408984715356, 2, 10], [0.41174226841169037, 0, 11], [0.35635453160390285, 1, 11], [0.4214841360592412, 2, 11], [0.3905893770759271, 0, 12], [0.3454025472866668, 1, 12], [0.4018363331001724, 2, 12], [0.37840499969337643, 0, 13], [0.3415309059225743, 1, 13], [0.3904492677794628, 2, 13], [0.3759807628683997, 0, 14], [0.3393363532009059, 1, 14], [0.3885486510553132, 2, 14], [0.37430514104684565, 0, 15], [0.3376418465238756, 1, 15], [0.38706421921153755, 2, 15]]","[0.37430514104684565, 0.3376418465238756, 0.38706421921153755]",15
3,0,"['A', 'A', 'B']","[array([0.78937448, 0.21062552]), array([0.78252768, 0.21747232]), array([0.50398152, 0.49601848])]",True,"[[0.6819867004738687, 0, 0], [0.6693227473520307, 1, 0], [0.6749058659643472, 2, 0], [0.6404022360274523, 0, 1], [0.6318585531341302, 1, 1], [0.6444808652784043, 2, 1], [0.6147792769240497, 0, 2], [0.6060435167955602, 1, 2], [0.6195061438348496, 2, 2], [0.587396570495477, 0, 3], [0.5938003414548216, 1, 3], [0.5889944396510997, 2, 3], [0.5667266653497784, 0, 4], [0.574734591080772, 1, 4], [0.5707787072673443, 2, 4], [0.5500371834955624, 0, 5], [0.5592816518306523, 1, 5], [0.5535758372885669, 2, 5], [0.5323209625160766, 0, 6], [0.5429151473414002, 1, 6], [0.537556299859656, 2, 6], [0.5135182038856599, 0, 7], [0.5286014153260303, 1, 7], [0.5377831204768105, 2, 7], [0.5083240791592623, 0, 8], [0.5266984438985303, 1, 8], [0.536598930975885, 2, 8], [0.5026617106093713, 0, 9], [0.5266803823123313, 1, 9], [0.5359803344720884, 2, 9], [0.49520210135393944, 0, 10], [0.5185939216293173, 1, 10], [0.5303202339059901, 2, 10], [0.485546370295285, 0, 11], [0.5135707371262473, 1, 11], [0.5244250022833479, 2, 11], [0.4753421894443095, 0, 12], [0.5061134576601175, 1, 12], [0.5182369758323988, 2, 12], [0.46228271819736344, 0, 13], [0.49566638073444846, 1, 13], [0.5086719235339812, 2, 13], [0.44747544181054955, 0, 14], [0.48444758868995735, 1, 14], [0.49839289337031717, 2, 14], [0.4312428575545736, 0, 15], [0.4720416859043969, 1, 15], [0.4864151992570166, 2, 15], [0.41405176751203043, 0, 16], [0.45772706149608555, 1, 16], [0.47298318396364625, 2, 16], [0.39639840919185737, 0, 17], [0.44178844095536124, 1, 17], [0.458060361228497, 2, 17], [0.3802361541770015, 0, 18], [0.4249246730092928, 1, 18], [0.44222807235754796, 2, 18], [0.3717001893851066, 0, 19], [0.4087771028469173, 1, 19], [0.4254525489102725, 2, 19], [0.3722236378256085, 0, 20], [0.3945082481309569, 1, 20], [0.415984231532433, 2, 20], [0.3759823014445182, 0, 21], [0.38814709096256694, 1, 21], [0.40966784325674044, 2, 21], [0.3758616276498847, 0, 22], [0.38618500931928446, 1, 22], [0.40955238626189483, 2, 22], [0.3778794069496156, 0, 23], [0.3862171910075208, 1, 23], [0.40975348934604927, 2, 23]]","[0.3778794069496156, 0.3862171910075208, 0.40975348934604927]",23
3,0,"['A', 'A', 'B']","[array([0.78808762, 0.21191238]), array([0.77851412, 0.22148588]), array([0.50398152, 0.49601848])]",False,"[[0.6777841257085642, 0, 0], [0.6670255909878581, 1, 0], [0.6749058659643472, 2, 0], [0.6407453318457941, 0, 1], [0.6380879079730326, 1, 1], [0.6444808652784043, 2, 1], [0.6152131794743988, 0, 2], [0.6147940327392339, 1, 2], [0.6195061438348496, 2, 2], [0.5875696450787166, 0, 3], [0.6039814173460248, 1, 3], [0.5889944396510997, 2, 3], [0.5686785808495497, 0, 4], [0.5882071503064659, 1, 4], [0.5707787072673443, 2, 4], [0.5520835371807422, 0, 5], [0.5739662364880733, 1, 5], [0.5535758372885669, 2, 5], [0.5343528972484716, 0, 6], [0.5583720022634894, 1, 6], [0.537556299859656, 2, 6], [0.5148882828619762, 0, 7], [0.5415562790409203, 1, 7], [0.5377831204768105, 2, 7], [0.5094277285404387, 0, 8], [0.5379280161792865, 1, 8], [0.536598930975885, 2, 8], [0.5033544482599808, 0, 9], [0.5350876317003284, 1, 9], [0.5359803344720884, 2, 9], [0.49585347388825324, 0, 10], [0.5283860555165003, 1, 10], [0.5303202339059901, 2, 10], [0.4861564119448416, 0, 11], [0.5230758293805787, 1, 11], [0.5244250022833479, 2, 11], [0.4759100645846808, 0, 12], [0.5153165586177129, 1, 12], [0.5182369758323988, 2, 12], [0.4628086132851571, 0, 13], [0.5056406162547346, 1, 13], [0.5086719235339812, 2, 13], [0.44796044237261884, 0, 14], [0.4940005550751775, 1, 14], [0.49839289337031717, 2, 14], [0.431690224073149, 0, 15], [0.48122083038508334, 1, 15], [0.4864151992570166, 2, 15], [0.4144685922129919, 0, 16], [0.46645764591428696, 1, 16], [0.47298318396364625, 2, 16], [0.3967988535168956, 0, 17], [0.4499866023824386, 1, 17], [0.458060361228497, 2, 17], [0.3806498967910399, 0, 18], [0.43246498750445606, 1, 18], [0.44222807235754796, 2, 18], [0.3721998232147136, 0, 19], [0.41542040378661477, 1, 19], [0.4254525489102725, 2, 19], [0.3728187748904939, 0, 20], [0.40143875254041383, 1, 20], [0.415984231532433, 2, 20], [0.3768489583216267, 0, 21], [0.3936493171885221, 1, 21], [0.40966784325674044, 2, 21], [0.3775095690890072, 0, 22], [0.3918546061497789, 1, 22], [0.40955238626189483, 2, 22], [0.3795460030599203, 0, 23], [0.39130354271819245, 1, 23], [0.40975348934604927, 2, 23]]","[0.3795460030599203, 0.39130354271819245, 0.40975348934604927]",23
4,1,"['A', 'A', 'B']","[array([0.21095698, 0.78904302]), array([0.21249475, 0.78750525]), array([0.48808856, 0.51191144])]",True,"[[0.5984801479201007, 0, 0], [0.6100241237909849, 1, 0], [0.600359722928889, 2, 0], [0.5634702376044607, 0, 1], [0.5714332572575678, 1, 1], [0.5656713023391948, 2, 1], [0.5289389354128818, 0, 2], [0.5367105108688207, 1, 2], [0.531469502373549, 2, 2], [0.5019178184294546, 0, 3], [0.4975130927310013, 1, 3], [0.4932886825741051, 2, 3], [0.4707831234955773, 0, 4], [0.47799704849979874, 1, 4], [0.46701915979577097, 2, 4], [0.4398292852723893, 0, 5], [0.4545963601279067, 1, 5], [0.4490557655717856, 2, 5], [0.42629304451489125, 0, 6], [0.4298244238788466, 1, 6], [0.42002936290778875, 2, 6], [0.40283680973929414, 0, 7], [0.40929049555601865, 1, 7], [0.40029312126579336, 2, 7], [0.3845777601617948, 0, 8], [0.39115446824348066, 1, 8], [0.3818922456704906, 2, 8], [0.3651100566538982, 0, 9], [0.37176787439210474, 1, 9], [0.37234500038038915, 2, 9], [0.3622563120027249, 0, 10], [0.3786153818424437, 1, 10], [0.40053923280262976, 2, 10], [0.3624246965169372, 0, 11], [0.37948529699704747, 1, 11], [0.40257080883564905, 2, 11], [0.3624335791376389, 0, 12], [0.3795056106519045, 1, 12], [0.40257080883564905, 2, 12]]","[0.3624335791376389, 0.3795056106519045, 0.40257080883564905]",12
4,1,"['A', 'A', 'B']","[array([0.21077736, 0.78922264]), array([0.21393325, 0.78606675]), array([0.48808856, 0.51191144])]",False,"[[0.6106345973615708, 0, 0], [0.6217805421314017, 1, 0], [0.600359722928889, 2, 0], [0.5795940803314112, 0, 1], [0.5872971863747566, 1, 1], [0.5656713023391948, 2, 1], [0.5468111098360352, 0, 2], [0.5543085480035537, 1, 2], [0.531469502373549, 2, 2], [0.5209225856212747, 0, 3], [0.5162106458994666, 1, 3], [0.4932886825741051, 2, 3], [0.48989469995504026, 0, 4], [0.4969794660089423, 1, 4], [0.46701915979577097, 2, 4], [0.4585556482703518, 0, 5], [0.47296954712391215, 1, 5], [0.4490557655717856, 2, 5], [0.44361746488847037, 0, 6], [0.4470948131427757, 1, 6], [0.42002936290778875, 2, 6], [0.423148976635098, 0, 7], [0.4296077326062773, 1, 7], [0.40029312126579336, 2, 7], [0.4055735463083208, 0, 8], [0.4121345449486595, 1, 8], [0.3818922456704906, 2, 8], [0.386115574812027, 0, 9], [0.39266691841839074, 1, 9], [0.37234500038038915, 2, 9], [0.3636723255368152, 0, 10], [0.38166209207760904, 1, 10], [0.40053923280262976, 2, 10], [0.3622279998221506, 0, 11], [0.38134344666874004, 1, 11], [0.40257080883564905, 2, 11], [0.3622068667240017, 0, 12], [0.38134433287365793, 1, 12], [0.40257080883564905, 2, 12]]","[0.3622068667240017, 0.38134433287365793, 0.40257080883564905]",12
