seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters
0,False,2,2,['A' 'A'],True,True,99
0,False,3,3,['A' 'B' 'B'],True,True,99
0,False,4,4,['B' 'A' 'B' 'B'],True,True,99
0,False,5,5,['A' 'B' 'A' 'B' 'B'],True,True,99
0,True,2,2,['A' 'A'],True,False,10
0,False,3,3,['A' 'B' 'B'],True,False,99
0,True,4,4,['B' 'A' 'B' 'B'],True,False,59
0,True,5,5,['A' 'B' 'A' 'B' 'B'],True,False,26
0,True,2,2,['A' 'A'],False,False,10
0,False,3,3,['A' 'B' 'B'],False,False,99
0,False,4,4,['B' 'A' 'B' 'B'],False,False,99
0,False,5,5,['A' 'B' 'A' 'B' 'B'],False,False,99
1,False,2,2,['A' 'B'],True,True,99
1,False,3,3,['B' 'A' 'A'],True,True,99
1,False,4,4,['B' 'B' 'B' 'B'],True,True,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],True,True,99
1,True,2,2,['A' 'B'],True,False,42
1,True,3,3,['B' 'A' 'A'],True,False,19
1,False,4,4,['B' 'B' 'B' 'B'],True,False,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],True,False,99
1,True,2,2,['A' 'B'],False,False,16
1,True,3,3,['B' 'A' 'A'],False,False,20
1,False,4,4,['B' 'B' 'B' 'B'],False,False,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],False,False,99
2,False,2,2,['B' 'B'],True,True,99
2,False,3,3,['B' 'A' 'A'],True,True,99
2,False,4,4,['A' 'B' 'A' 'A'],True,True,99
2,False,5,5,['A' 'A' 'A' 'B' 'B'],True,True,99
2,True,2,2,['B' 'B'],True,False,18
2,True,3,3,['B' 'A' 'A'],True,False,13
2,True,4,4,['A' 'B' 'A' 'A'],True,False,13
2,True,5,5,['A' 'A' 'A' 'B' 'B'],True,False,20
2,True,2,2,['B' 'B'],False,False,20
2,True,3,3,['B' 'A' 'A'],False,False,13
2,True,4,4,['A' 'B' 'A' 'A'],False,False,21
2,False,5,5,['A' 'A' 'A' 'B' 'B'],False,False,99
3,True,2,2,['B' 'A'],True,True,14
3,False,3,3,['A' 'A' 'B'],True,True,99
3,False,4,4,['A' 'B' 'B' 'A'],True,True,99
3,False,5,5,['B' 'A' 'A' 'B' 'A'],True,True,99
3,True,2,2,['B' 'A'],True,False,21
3,False,3,3,['A' 'A' 'B'],True,False,99
3,True,4,4,['A' 'B' 'B' 'A'],True,False,21
3,True,5,5,['B' 'A' 'A' 'B' 'A'],True,False,25
3,True,2,2,['B' 'A'],False,False,25
3,False,3,3,['A' 'A' 'B'],False,False,99
3,False,4,4,['A' 'B' 'B' 'A'],False,False,99
3,False,5,5,['B' 'A' 'A' 'B' 'A'],False,False,99
4,False,2,2,['B' 'B'],True,True,99
4,False,3,3,['A' 'A' 'B'],True,True,99
4,False,4,4,['A' 'B' 'A' 'A'],True,True,99
4,False,5,5,['A' 'B' 'A' 'A' 'B'],True,True,99
4,True,2,2,['B' 'B'],True,False,24
4,True,3,3,['A' 'A' 'B'],True,False,43
4,True,4,4,['A' 'B' 'A' 'A'],True,False,34
4,True,5,5,['A' 'B' 'A' 'A' 'B'],True,False,44
4,True,2,2,['B' 'B'],False,False,27
4,True,3,3,['A' 'A' 'B'],False,False,43
4,False,4,4,['A' 'B' 'A' 'A'],False,False,99
4,False,5,5,['A' 'B' 'A' 'A' 'B'],False,False,99
5,False,2,2,['B' 'A'],True,True,99
5,False,3,3,['A' 'B' 'B'],True,True,99
5,False,4,4,['B' 'A' 'A' 'B'],True,True,99
5,False,5,5,['A' 'B' 'A' 'B' 'A'],True,True,99
5,True,2,2,['B' 'A'],True,False,51
5,True,3,3,['A' 'B' 'B'],True,False,31
5,False,4,4,['B' 'A' 'A' 'B'],True,False,99
5,False,5,5,['A' 'B' 'A' 'B' 'A'],True,False,99
5,False,2,2,['B' 'A'],False,False,99
5,False,3,3,['A' 'B' 'B'],False,False,99
5,False,4,4,['B' 'A' 'A' 'B'],False,False,99
5,False,5,5,['A' 'B' 'A' 'B' 'A'],False,False,99
6,False,2,2,['B' 'B'],True,True,99
6,False,3,3,['A' 'A' 'B'],True,True,99
6,False,4,4,['B' 'B' 'A' 'A'],True,True,99
6,False,5,5,['A' 'B' 'A' 'A' 'A'],True,True,99
6,True,2,2,['B' 'B'],True,False,34
6,True,3,3,['A' 'A' 'B'],True,False,38
6,True,4,4,['B' 'B' 'A' 'A'],True,False,31
6,True,5,5,['A' 'B' 'A' 'A' 'A'],True,False,41
6,True,2,2,['B' 'B'],False,False,33
6,True,3,3,['A' 'A' 'B'],False,False,24
6,True,4,4,['B' 'B' 'A' 'A'],False,False,31
6,True,5,5,['A' 'B' 'A' 'A' 'A'],False,False,41
7,False,2,2,['A' 'A'],True,True,99
7,False,3,3,['A' 'A' 'B'],True,True,99
7,False,4,4,['A' 'B' 'B' 'A'],True,True,99
7,False,5,5,['B' 'B' 'A' 'A' 'A'],True,True,99
7,True,2,2,['A' 'A'],True,False,51
7,True,3,3,['A' 'A' 'B'],True,False,30
7,True,4,4,['A' 'B' 'B' 'A'],True,False,15
7,False,5,5,['B' 'B' 'A' 'A' 'A'],True,False,99
7,True,2,2,['A' 'A'],False,False,51
7,True,3,3,['A' 'A' 'B'],False,False,30
7,False,4,4,['A' 'B' 'B' 'A'],False,False,99
7,False,5,5,['B' 'B' 'A' 'A' 'A'],False,False,99
8,False,2,2,['A' 'B'],True,True,99
8,False,3,3,['A' 'B' 'A'],True,True,99
8,False,4,4,['B' 'A' 'B' 'B'],True,True,99
8,False,5,5,['A' 'A' 'A' 'B' 'B'],True,True,99
8,True,2,2,['A' 'B'],True,False,95
8,True,3,3,['A' 'B' 'A'],True,False,19
8,False,4,4,['B' 'A' 'B' 'B'],True,False,99
8,True,5,5,['A' 'A' 'A' 'B' 'B'],True,False,25
8,True,2,2,['A' 'B'],False,False,33
8,True,3,3,['A' 'B' 'A'],False,False,19
8,False,4,4,['B' 'A' 'B' 'B'],False,False,99
8,False,5,5,['A' 'A' 'A' 'B' 'B'],False,False,99
9,True,2,2,['A' 'B'],True,True,11
9,True,3,3,['A' 'B' 'A'],True,True,14
9,True,4,4,['A' 'A' 'A' 'A'],True,True,16
9,False,5,5,['B' 'B' 'B' 'B' 'A'],True,True,99
9,True,2,2,['A' 'B'],True,False,12
9,True,3,3,['A' 'B' 'A'],True,False,17
9,True,4,4,['A' 'A' 'A' 'A'],True,False,18
9,False,5,5,['B' 'B' 'B' 'B' 'A'],True,False,99
9,True,2,2,['A' 'B'],False,False,12
9,True,3,3,['A' 'B' 'A'],False,False,17
9,True,4,4,['A' 'A' 'A' 'A'],False,False,18
9,False,5,5,['B' 'B' 'B' 'B' 'A'],False,False,99
10,True,2,2,['A' 'A'],True,True,15
10,False,3,3,['B' 'B' 'A'],True,True,99
10,False,4,4,['A' 'A' 'A' 'B'],True,True,99
10,False,5,5,['B' 'B' 'B' 'A' 'B'],True,True,99
10,True,2,2,['A' 'A'],True,False,18
10,False,3,3,['B' 'B' 'A'],True,False,99
10,True,4,4,['A' 'A' 'A' 'B'],True,False,35
10,False,5,5,['B' 'B' 'B' 'A' 'B'],True,False,99
10,True,2,2,['A' 'A'],False,False,18
10,False,3,3,['B' 'B' 'A'],False,False,99
10,False,4,4,['A' 'A' 'A' 'B'],False,False,99
10,False,5,5,['B' 'B' 'B' 'A' 'B'],False,False,99
11,True,2,2,['A' 'B'],True,True,16
11,False,3,3,['A' 'B' 'B'],True,True,99
11,False,4,4,['A' 'B' 'B' 'A'],True,True,99
11,False,5,5,['B' 'B' 'A' 'B' 'B'],True,True,99
11,True,2,2,['A' 'B'],True,False,21
11,True,3,3,['A' 'B' 'B'],True,False,33
11,True,4,4,['A' 'B' 'B' 'A'],True,False,25
11,False,5,5,['B' 'B' 'A' 'B' 'B'],True,False,99
11,True,2,2,['A' 'B'],False,False,19
11,False,3,3,['A' 'B' 'B'],False,False,99
11,False,4,4,['A' 'B' 'B' 'A'],False,False,99
11,False,5,5,['B' 'B' 'A' 'B' 'B'],False,False,99
12,True,2,2,['A' 'B'],True,True,26
12,False,3,3,['B' 'A' 'B'],True,True,99
12,False,4,4,['A' 'B' 'B' 'A'],True,True,99
12,False,5,5,['A' 'A' 'B' 'B' 'B'],True,True,99
12,True,2,2,['A' 'B'],True,False,28
12,False,3,3,['B' 'A' 'B'],True,False,99
12,True,4,4,['A' 'B' 'B' 'A'],True,False,42
12,True,5,5,['A' 'A' 'B' 'B' 'B'],True,False,27
12,True,2,2,['A' 'B'],False,False,33
12,False,3,3,['B' 'A' 'B'],False,False,99
12,False,4,4,['A' 'B' 'B' 'A'],False,False,99
12,False,5,5,['A' 'A' 'B' 'B' 'B'],False,False,99
13,True,2,2,['A' 'B'],True,True,11
13,False,3,3,['A' 'B' 'B'],True,True,99
13,False,4,4,['B' 'A' 'A' 'A'],True,True,99
