seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters,reasoning_level
0,True,20,2,['B' 'A'],True,True,33,0
0,True,20,2,['B' 'A'],True,False,35,2
0,True,20,2,['B' 'A'],False,False,35,1
0,True,20,3,['A' 'A' 'B'],True,True,53,0
0,True,20,3,['A' 'A' 'B'],True,False,63,2
0,True,20,3,['A' 'A' 'B'],False,False,60,1
0,True,20,4,['A' 'B' 'B' 'A'],True,True,85,0
0,True,20,4,['A' 'B' 'B' 'A'],True,False,92,2
0,True,20,4,['A' 'B' 'B' 'A'],False,False,78,1
1,True,20,2,['B' 'B'],True,True,44,0
1,True,20,2,['B' 'B'],True,False,45,2
1,True,20,2,['B' 'B'],False,False,43,1
1,True,20,3,['B' 'B' 'A'],True,True,80,0
1,True,20,3,['B' 'B' 'A'],True,False,62,2
1,True,20,3,['B' 'B' 'A'],False,False,54,1
1,True,20,4,['B' 'B' 'B' 'A'],True,True,103,0
1,True,20,4,['B' 'B' 'B' 'A'],True,False,80,2
1,True,20,4,['B' 'B' 'B' 'A'],False,False,88,1
2,True,20,2,['A' 'A'],True,True,42,0
2,True,20,2,['A' 'A'],True,False,53,2
2,True,20,2,['A' 'A'],False,False,53,1
2,True,20,3,['A' 'A' 'A'],True,True,74,0
2,True,20,3,['A' 'A' 'A'],True,False,50,2
2,True,20,3,['A' 'A' 'A'],False,False,54,1
2,True,20,4,['A' 'B' 'A' 'A'],True,True,67,0
2,True,20,4,['A' 'B' 'A' 'A'],True,False,51,2
2,True,20,4,['A' 'B' 'A' 'A'],False,False,61,1
3,True,20,2,['A' 'B'],True,True,36,0
3,True,20,2,['A' 'B'],True,False,38,2
3,True,20,2,['A' 'B'],False,False,38,1
3,True,20,3,['A' 'A' 'A'],True,True,93,0
3,True,20,3,['A' 'A' 'A'],True,False,48,2
3,True,20,3,['A' 'A' 'A'],False,False,48,1
3,True,20,4,['B' 'A' 'B' 'B'],True,True,128,0
3,True,20,4,['B' 'A' 'B' 'B'],True,False,88,2
3,True,20,4,['B' 'A' 'B' 'B'],False,False,109,1
4,True,20,2,['B' 'A'],True,True,62,0
4,True,20,2,['B' 'A'],True,False,42,2
4,True,20,2,['B' 'A'],False,False,42,1
4,True,20,3,['B' 'A' 'B'],True,True,129,0
4,True,20,3,['B' 'A' 'B'],True,False,74,2
4,True,20,3,['B' 'A' 'B'],False,False,60,1
4,False,20,4,['B' 'A' 'B' 'B'],True,True,149,0
4,True,20,4,['B' 'A' 'B' 'B'],True,False,104,2
4,True,20,4,['B' 'A' 'B' 'B'],False,False,133,1
5,True,20,2,['B' 'A'],True,True,44,0
5,True,20,2,['B' 'A'],True,False,37,2
5,True,20,2,['B' 'A'],False,False,37,1
5,True,20,3,['B' 'A' 'B'],True,True,109,0
5,True,20,3,['B' 'A' 'B'],True,False,59,2
5,True,20,3,['B' 'A' 'B'],False,False,59,1
5,True,20,4,['A' 'B' 'A' 'B'],True,True,124,0
5,True,20,4,['A' 'B' 'A' 'B'],True,False,73,2
5,True,20,4,['A' 'B' 'A' 'B'],False,False,58,1
6,True,20,2,['B' 'B'],True,True,46,0
6,True,20,2,['B' 'B'],True,False,51,2
6,True,20,2,['B' 'B'],False,False,40,1
6,True,20,3,['B' 'B' 'B'],True,True,104,0
6,True,20,3,['B' 'B' 'B'],True,False,78,2
6,True,20,3,['B' 'B' 'B'],False,False,64,1
6,False,20,4,['B' 'B' 'A' 'A'],True,True,149,0
6,True,20,4,['B' 'B' 'A' 'A'],True,False,81,2
6,True,20,4,['B' 'B' 'A' 'A'],False,False,81,1
7,True,20,2,['A' 'B'],True,True,35,0
7,True,20,2,['A' 'B'],True,False,43,2
7,True,20,2,['A' 'B'],False,False,43,1
7,True,20,3,['A' 'B' 'B'],True,True,77,0
7,True,20,3,['A' 'B' 'B'],True,False,73,2
7,True,20,3,['A' 'B' 'B'],False,False,56,1
7,True,20,4,['B' 'B' 'B' 'B'],True,True,124,0
7,True,20,4,['B' 'B' 'B' 'B'],True,False,117,2
7,False,20,4,['B' 'B' 'B' 'B'],False,False,149,1
8,True,20,2,['B' 'A'],True,True,35,0
8,True,20,2,['B' 'A'],True,False,35,2
8,True,20,2,['B' 'A'],False,False,50,1
8,True,20,3,['B' 'A' 'B'],True,True,103,0
8,True,20,3,['B' 'A' 'B'],True,False,72,2
8,True,20,3,['B' 'A' 'B'],False,False,85,1
8,True,20,4,['A' 'A' 'B' 'B'],True,True,144,0
8,True,20,4,['A' 'A' 'B' 'B'],True,False,88,2
8,True,20,4,['A' 'A' 'B' 'B'],False,False,80,1
9,True,20,2,['B' 'B'],True,True,38,0
9,True,20,2,['B' 'B'],True,False,54,2
9,True,20,2,['B' 'B'],False,False,53,1
9,True,20,3,['B' 'B' 'B'],True,True,71,0
9,True,20,3,['B' 'B' 'B'],True,False,87,2
9,True,20,3,['B' 'B' 'B'],False,False,61,1
9,True,20,4,['B' 'A' 'A' 'A'],True,True,102,0
9,True,20,4,['B' 'A' 'A' 'A'],True,False,83,2
9,True,20,4,['B' 'A' 'A' 'A'],False,False,84,1
10,True,20,2,['B' 'A'],True,True,66,0
10,True,20,2,['B' 'A'],True,False,31,2
10,True,20,2,['B' 'A'],False,False,31,1
10,True,20,3,['A' 'A' 'A'],True,True,110,0
10,True,20,3,['A' 'A' 'A'],True,False,53,2
10,True,20,3,['A' 'A' 'A'],False,False,52,1
10,True,20,4,['B' 'B' 'A' 'B'],True,True,139,0
10,True,20,4,['B' 'B' 'A' 'B'],True,False,81,2
10,True,20,4,['B' 'B' 'A' 'B'],False,False,87,1
11,True,20,2,['A' 'B'],True,True,52,0
11,True,20,2,['A' 'B'],True,False,46,2
11,True,20,2,['A' 'B'],False,False,46,1
11,True,20,3,['B' 'A' 'A'],True,True,120,0
11,True,20,3,['B' 'A' 'A'],True,False,68,2
11,True,20,3,['B' 'A' 'A'],False,False,69,1
11,True,20,4,['A' 'A' 'A' 'B'],True,True,102,0
11,True,20,4,['A' 'A' 'A' 'B'],True,False,59,2
11,True,20,4,['A' 'A' 'A' 'B'],False,False,80,1
12,True,20,2,['B' 'A'],True,True,75,0
12,True,20,2,['B' 'A'],True,False,55,2
12,True,20,2,['B' 'A'],False,False,62,1
12,True,20,3,['B' 'B' 'B'],True,True,101,0
12,True,20,3,['B' 'B' 'B'],True,False,70,2
12,True,20,3,['B' 'B' 'B'],False,False,75,1
12,True,20,4,['A' 'B' 'A' 'B'],True,True,143,0
12,True,20,4,['A' 'B' 'A' 'B'],True,False,92,2
12,True,20,4,['A' 'B' 'A' 'B'],False,False,83,1
13,True,20,2,['B' 'B'],True,True,69,0
13,True,20,2,['B' 'B'],True,False,42,2
13,True,20,2,['B' 'B'],False,False,45,1
13,True,20,3,['A' 'B' 'A'],True,True,114,0
13,True,20,3,['A' 'B' 'A'],True,False,60,2
