seed,converged,num_goals,num_agents,agent_types,use_ep,num_iters
0,True,2,2,['A' 'A'],True,12
0,False,3,3,['A' 'B' 'B'],True,99
0,False,4,4,['B' 'A' 'B' 'B'],True,99
0,True,5,5,['A' 'B' 'A' 'B' 'B'],True,25
0,True,2,2,['A' 'A'],False,12
0,False,3,3,['A' 'B' 'B'],False,99
0,False,4,4,['B' 'A' 'B' 'B'],False,99
0,False,5,5,['A' 'B' 'A' 'B' 'B'],False,99
1,True,2,2,['A' 'B'],True,39
1,True,3,3,['B' 'A' 'A'],True,19
1,False,4,4,['B' 'B' 'B' 'B'],True,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,2,2,['A' 'B'],False,16
1,True,3,3,['B' 'A' 'A'],False,20
1,False,4,4,['B' 'B' 'B' 'B'],False,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],False,99
2,True,2,2,['B' 'B'],True,22
2,True,3,3,['B' 'A' 'A'],True,14
2,True,4,4,['A' 'B' 'A' 'A'],True,13
2,True,5,5,['A' 'A' 'A' 'B' 'B'],True,19
2,True,2,2,['B' 'B'],False,18
2,True,3,3,['B' 'A' 'A'],False,14
2,True,4,4,['A' 'B' 'A' 'A'],False,24
2,False,5,5,['A' 'A' 'A' 'B' 'B'],False,99
3,True,2,2,['B' 'A'],True,20
3,False,3,3,['A' 'A' 'B'],True,99
3,True,4,4,['A' 'B' 'B' 'A'],True,16
3,False,5,5,['B' 'A' 'A' 'B' 'A'],True,99
3,True,2,2,['B' 'A'],False,23
3,False,3,3,['A' 'A' 'B'],False,99
3,False,4,4,['A' 'B' 'B' 'A'],False,99
3,True,5,5,['B' 'A' 'A' 'B' 'A'],False,80
4,True,2,2,['B' 'B'],True,27
4,True,3,3,['A' 'A' 'B'],True,41
4,True,4,4,['A' 'B' 'A' 'A'],True,33
4,True,5,5,['A' 'B' 'A' 'A' 'B'],True,45
4,True,2,2,['B' 'B'],False,26
4,True,3,3,['A' 'A' 'B'],False,40
4,False,4,4,['A' 'B' 'A' 'A'],False,99
4,False,5,5,['A' 'B' 'A' 'A' 'B'],False,99
5,True,2,2,['B' 'A'],True,53
5,True,3,3,['A' 'B' 'B'],True,31
5,True,4,4,['B' 'A' 'A' 'B'],True,74
5,False,5,5,['A' 'B' 'A' 'B' 'A'],True,99
5,True,2,2,['B' 'A'],False,76
5,True,3,3,['A' 'B' 'B'],False,71
5,False,4,4,['B' 'A' 'A' 'B'],False,99
5,True,5,5,['A' 'B' 'A' 'B' 'A'],False,89
6,True,2,2,['B' 'B'],True,32
6,True,3,3,['A' 'A' 'B'],True,38
6,True,4,4,['B' 'B' 'A' 'A'],True,31
6,True,5,5,['A' 'B' 'A' 'A' 'A'],True,41
6,True,2,2,['B' 'B'],False,33
6,True,3,3,['A' 'A' 'B'],False,26
6,False,4,4,['B' 'B' 'A' 'A'],False,99
6,True,5,5,['A' 'B' 'A' 'A' 'A'],False,41
7,True,2,2,['A' 'A'],True,49
7,True,3,3,['A' 'A' 'B'],True,29
7,True,4,4,['A' 'B' 'B' 'A'],True,15
7,False,5,5,['B' 'B' 'A' 'A' 'A'],True,99
7,True,2,2,['A' 'A'],False,49
7,True,3,3,['A' 'A' 'B'],False,29
7,False,4,4,['A' 'B' 'B' 'A'],False,99
7,False,5,5,['B' 'B' 'A' 'A' 'A'],False,99
8,False,2,2,['A' 'B'],True,99
8,True,3,3,['A' 'B' 'A'],True,19
8,False,4,4,['B' 'A' 'B' 'B'],True,99
