seed,converged,num_goals,num_agents,agent_types,use_ep,num_iters
0,True,3,2,['A' 'B'],True,17
0,True,4,2,['A' 'B'],True,15
0,True,5,2,['B' 'A'],True,12
0,True,3,3,['A' 'B' 'B'],True,35
0,True,4,3,['B' 'A' 'B'],True,62
0,True,5,3,['B' 'A' 'B'],True,51
0,True,3,4,['B' 'A' 'B' 'A'],True,31
0,True,4,4,['B' 'A' 'B' 'B'],True,43
0,True,5,4,['A' 'B' 'B' 'A'],True,24
0,False,3,5,['B' 'A' 'B' 'B' 'A'],True,99
0,True,4,5,['A' 'B' 'B' 'A' 'A'],True,56
0,True,5,5,['A' 'B' 'A' 'B' 'B'],True,30
0,True,3,2,['A' 'B'],False,20
0,True,4,2,['A' 'B'],False,15
0,True,5,2,['B' 'A'],False,12
0,False,3,3,['A' 'B' 'B'],False,99
0,True,4,3,['B' 'A' 'B'],False,44
0,True,5,3,['B' 'A' 'B'],False,42
0,False,3,4,['B' 'A' 'B' 'A'],False,99
0,True,4,4,['B' 'A' 'B' 'B'],False,41
0,False,5,4,['A' 'B' 'B' 'A'],False,99
0,False,3,5,['B' 'A' 'B' 'B' 'A'],False,99
0,False,4,5,['A' 'B' 'B' 'A' 'A'],False,99
0,True,5,5,['A' 'B' 'A' 'B' 'B'],False,99
1,True,3,2,['A' 'B'],True,21
1,True,4,2,['B' 'A'],True,7
1,True,5,2,['B' 'A'],True,13
1,True,3,3,['B' 'A' 'A'],True,16
1,True,4,3,['B' 'A' 'A'],True,13
1,False,5,3,['B' 'B' 'B'],True,99
1,True,3,4,['B' 'A' 'A' 'A'],True,16
1,False,4,4,['B' 'B' 'B' 'B'],True,99
1,True,5,4,['B' 'A' 'A' 'A'],True,18
1,False,3,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,4,5,['B' 'A' 'A' 'A' 'B'],True,17
1,False,5,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,3,2,['A' 'B'],False,16
1,True,4,2,['B' 'A'],False,8
1,True,5,2,['B' 'A'],False,13
1,True,3,3,['B' 'A' 'A'],False,16
1,True,4,3,['B' 'A' 'A'],False,15
1,True,5,3,['B' 'B' 'B'],False,37
1,True,3,4,['B' 'A' 'A' 'A'],False,18
1,False,4,4,['B' 'B' 'B' 'B'],False,99
1,True,5,4,['B' 'A' 'A' 'A'],False,18
1,False,3,5,['B' 'B' 'B' 'B' 'B'],False,99
1,False,4,5,['B' 'A' 'A' 'A' 'B'],False,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],False,99
2,True,3,2,['A' 'A'],True,14
2,True,4,2,['B' 'A'],True,10
2,True,5,2,['B' 'B'],True,21
2,True,3,3,['B' 'A' 'A'],True,19
2,True,4,3,['B' 'B' 'B'],True,27
2,True,5,3,['A' 'B' 'A'],True,19
2,True,3,4,['B' 'B' 'B' 'A'],True,18
2,True,4,4,['A' 'B' 'A' 'A'],True,19
2,True,5,4,['B' 'B' 'B' 'A'],True,46
2,False,3,5,['A' 'B' 'A' 'A' 'B'],True,99
2,False,4,5,['B' 'B' 'B' 'A' 'A'],True,99
2,False,5,5,['A' 'A' 'A' 'B' 'B'],True,99
2,True,3,2,['A' 'A'],False,13
2,True,4,2,['B' 'A'],False,10
2,True,5,2,['B' 'B'],False,16
2,True,3,3,['B' 'A' 'A'],False,14
2,True,4,3,['B' 'B' 'B'],False,27
2,True,5,3,['A' 'B' 'A'],False,20
2,False,3,4,['B' 'B' 'B' 'A'],False,99
2,True,4,4,['A' 'B' 'A' 'A'],False,17
2,True,5,4,['B' 'B' 'B' 'A'],False,70
2,False,3,5,['A' 'B' 'A' 'A' 'B'],False,99
2,False,4,5,['B' 'B' 'B' 'A' 'A'],False,99
2,False,5,5,['A' 'A' 'A' 'B' 'B'],False,99
3,True,3,2,['A' 'B'],True,13
3,True,4,2,['A' 'A'],True,11
3,True,5,2,['A' 'A'],True,24
3,True,3,3,['A' 'A' 'B'],True,13
3,True,4,3,['A' 'A' 'A'],True,15
3,False,5,3,['A' 'B' 'B'],True,99
3,True,3,4,['A' 'A' 'A' 'B'],True,20
3,True,4,4,['A' 'B' 'B' 'A'],True,15
3,True,5,4,['B' 'A' 'A' 'B'],True,25
3,False,3,5,['A' 'B' 'B' 'A' 'B'],True,99
3,True,4,5,['B' 'A' 'A' 'B' 'B'],True,36
3,True,5,5,['B' 'A' 'A' 'B' 'A'],True,15
3,True,3,2,['A' 'B'],False,16
3,True,4,2,['A' 'A'],False,11
3,True,5,2,['A' 'A'],False,24
3,True,3,3,['A' 'A' 'B'],False,16
3,True,4,3,['A' 'A' 'A'],False,15
3,True,5,3,['A' 'B' 'B'],False,43
3,False,3,4,['A' 'A' 'A' 'B'],False,99
3,True,4,4,['A' 'B' 'B' 'A'],False,17
3,True,5,4,['B' 'A' 'A' 'B'],False,20
3,False,3,5,['A' 'B' 'B' 'A' 'B'],False,99
3,False,4,5,['B' 'A' 'A' 'B' 'B'],False,99
3,False,5,5,['B' 'A' 'A' 'B' 'A'],False,99
4,True,3,2,['A' 'A'],True,22
4,True,4,2,['A' 'A'],True,19
4,True,5,2,['B' 'B'],True,23
4,True,3,3,['A' 'A' 'B'],True,22
4,False,4,3,['B' 'B' 'B'],True,99
4,True,5,3,['A' 'B' 'A'],True,40
4,True,3,4,['B' 'B' 'B' 'B'],True,67
4,True,4,4,['A' 'B' 'A' 'A'],True,46
4,True,5,4,['A' 'A' 'B' 'A'],True,36
4,True,3,5,['A' 'B' 'A' 'A' 'A'],True,52
4,True,4,5,['A' 'A' 'B' 'A' 'A'],True,46
4,True,5,5,['A' 'B' 'A' 'A' 'B'],True,36
4,True,3,2,['A' 'A'],False,22
4,True,4,2,['A' 'A'],False,19
4,False,5,2,['B' 'B'],False,99
4,True,3,3,['A' 'A' 'B'],False,22
4,True,4,3,['B' 'B' 'B'],False,72
4,True,5,3,['A' 'B' 'A'],False,27
4,False,3,4,['B' 'B' 'B' 'B'],False,99
4,True,4,4,['A' 'B' 'A' 'A'],False,46
4,True,5,4,['A' 'A' 'B' 'A'],False,36
4,True,3,5,['A' 'B' 'A' 'A' 'A'],False,52
4,True,4,5,['A' 'A' 'B' 'A' 'A'],False,30
4,False,5,5,['A' 'B' 'A' 'A' 'B'],False,99
5,True,3,2,['B' 'B'],True,18
5,True,4,2,['A' 'B'],True,39
5,True,5,2,['B' 'A'],True,22
5,False,3,3,['A' 'B' 'B'],True,99
5,True,4,3,['B' 'A' 'A'],True,23
5,True,5,3,['B' 'A' 'A'],True,26
5,True,3,4,['B' 'A' 'A' 'A'],True,22
5,True,4,4,['B' 'A' 'A' 'B'],True,53
5,True,5,4,['B' 'A' 'B' 'B'],True,33
5,True,3,5,['B' 'A' 'A' 'B' 'B'],True,22
5,True,4,5,['B' 'A' 'B' 'B' 'A'],True,51
5,True,5,5,['A' 'B' 'A' 'B' 'A'],True,27
5,True,3,2,['B' 'B'],False,38
5,True,4,2,['A' 'B'],False,33
5,True,5,2,['B' 'A'],False,22
5,True,3,3,['A' 'B' 'B'],False,47
5,True,4,3,['B' 'A' 'A'],False,27
5,True,5,3,['B' 'A' 'A'],False,26
5,False,3,4,['B' 'A' 'A' 'A'],False,99
5,True,4,4,['B' 'A' 'A' 'B'],False,88
5,False,5,4,['B' 'A' 'B' 'B'],False,99
5,True,3,5,['B' 'A' 'A' 'B' 'B'],False,42
5,False,4,5,['B' 'A' 'B' 'B' 'A'],False,99
5,False,5,5,['A' 'B' 'A' 'B' 'A'],False,99
6,True,3,2,['A' 'B'],True,16
6,True,4,2,['A' 'A'],True,14
6,True,5,2,['A' 'B'],True,16
6,True,3,3,['A' 'A' 'B'],True,16
6,True,4,3,['A' 'B' 'B'],True,12
6,True,5,3,['B' 'B' 'A'],True,21
