seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters
0,True,2,2,['A' 'A'],True,True,8
0,False,3,2,['A' 'B'],True,True,99
0,True,4,2,['A' 'B'],True,True,14
0,False,5,2,['B' 'A'],True,True,99
0,False,2,3,['A' 'B' 'B'],True,True,99
0,False,3,3,['A' 'B' 'B'],True,True,99
0,False,4,3,['B' 'A' 'B'],True,True,99
0,False,5,3,['B' 'A' 'B'],True,True,99
0,False,2,4,['A' 'B' 'B' 'B'],True,True,99
0,False,3,4,['B' 'A' 'B' 'A'],True,True,99
0,False,4,4,['B' 'A' 'B' 'B'],True,True,99
0,False,5,4,['A' 'B' 'B' 'A'],True,True,99
0,False,2,5,['B' 'A' 'B' 'A' 'B'],True,True,99
0,False,3,5,['B' 'A' 'B' 'B' 'A'],True,True,99
0,False,4,5,['A' 'B' 'B' 'A' 'A'],True,True,99
0,False,5,5,['A' 'B' 'A' 'B' 'B'],True,True,99
0,True,2,2,['A' 'A'],True,False,9
0,True,3,2,['A' 'B'],True,False,16
0,True,4,2,['A' 'B'],True,False,16
0,True,5,2,['B' 'A'],True,False,15
0,False,2,3,['A' 'B' 'B'],True,False,99
0,True,3,3,['A' 'B' 'B'],True,False,32
0,True,4,3,['B' 'A' 'B'],True,False,79
0,False,5,3,['B' 'A' 'B'],True,False,99
0,True,2,4,['A' 'B' 'B' 'B'],True,False,21
0,True,3,4,['B' 'A' 'B' 'A'],True,False,33
0,True,4,4,['B' 'A' 'B' 'B'],True,False,64
0,True,5,4,['A' 'B' 'B' 'A'],True,False,25
0,True,2,5,['B' 'A' 'B' 'A' 'B'],True,False,44
0,False,3,5,['B' 'A' 'B' 'B' 'A'],True,False,99
0,True,4,5,['A' 'B' 'B' 'A' 'A'],True,False,54
0,True,5,5,['A' 'B' 'A' 'B' 'B'],True,False,32
0,True,2,2,['A' 'A'],False,False,9
0,True,3,2,['A' 'B'],False,False,21
0,True,4,2,['A' 'B'],False,False,20
0,True,5,2,['B' 'A'],False,False,18
0,True,2,3,['A' 'B' 'B'],False,False,35
0,False,3,3,['A' 'B' 'B'],False,False,99
0,True,4,3,['B' 'A' 'B'],False,False,63
0,True,5,3,['B' 'A' 'B'],False,False,30
0,False,2,4,['A' 'B' 'B' 'B'],False,False,99
0,False,3,4,['B' 'A' 'B' 'A'],False,False,99
0,False,4,4,['B' 'A' 'B' 'B'],False,False,99
0,True,5,4,['A' 'B' 'B' 'A'],False,False,47
0,False,2,5,['B' 'A' 'B' 'A' 'B'],False,False,99
0,False,3,5,['B' 'A' 'B' 'B' 'A'],False,False,99
0,False,4,5,['A' 'B' 'B' 'A' 'A'],False,False,99
0,False,5,5,['A' 'B' 'A' 'B' 'B'],False,False,99
1,True,2,2,['A' 'B'],True,True,9
1,False,3,2,['A' 'B'],True,True,99
1,True,4,2,['B' 'A'],True,True,7
1,True,5,2,['B' 'A'],True,True,10
1,False,2,3,['A' 'B' 'A'],True,True,99
1,False,3,3,['B' 'A' 'A'],True,True,99
1,True,4,3,['B' 'A' 'A'],True,True,10
1,False,5,3,['B' 'B' 'B'],True,True,99
1,False,2,4,['B' 'A' 'A' 'A'],True,True,99
1,False,3,4,['B' 'A' 'A' 'A'],True,True,99
