seed,converged,num_goals,num_agents,agent_types,use_ep,greedy,num_iters
0,True,40,2,['B' 'A'],True,True,97
0,True,40,2,['B' 'A'],True,False,111
0,True,40,2,['B' 'A'],False,False,111
0,True,45,2,['A' 'A'],True,True,91
0,True,45,2,['A' 'A'],True,False,140
0,True,45,2,['A' 'A'],False,False,132
0,True,50,2,['A' 'A'],True,True,85
0,True,50,2,['A' 'A'],True,False,130
0,True,50,2,['A' 'A'],False,False,130
0,True,55,2,['B' 'B'],True,True,85
0,True,55,2,['B' 'B'],True,False,122
0,False,55,2,['B' 'B'],False,False,149
0,True,40,3,['B' 'A' 'B'],True,True,61
0,True,40,3,['B' 'A' 'B'],True,False,72
0,True,40,3,['B' 'A' 'B'],False,False,100
0,True,45,3,['A' 'B' 'A'],True,True,65
0,True,45,3,['A' 'B' 'A'],True,False,80
0,True,45,3,['A' 'B' 'A'],False,False,80
0,True,50,3,['A' 'A' 'A'],True,True,56
0,True,50,3,['A' 'A' 'A'],True,False,82
0,True,50,3,['A' 'A' 'A'],False,False,82
0,True,55,3,['A' 'A' 'A'],True,True,57
0,True,55,3,['A' 'A' 'A'],True,False,80
0,True,55,3,['A' 'A' 'A'],False,False,76
0,True,40,4,['B' 'A' 'A' 'A'],True,True,61
0,True,40,4,['B' 'A' 'A' 'A'],True,False,59
0,True,40,4,['B' 'A' 'A' 'A'],False,False,59
0,True,45,4,['A' 'B' 'A' 'A'],True,True,40
0,True,45,4,['A' 'B' 'A' 'A'],True,False,63
0,True,45,4,['A' 'B' 'A' 'A'],False,False,63
0,True,50,4,['A' 'B' 'A' 'B'],True,True,54
0,True,50,4,['A' 'B' 'A' 'B'],True,False,67
0,True,50,4,['A' 'B' 'A' 'B'],False,False,71
0,True,55,4,['B' 'A' 'B' 'A'],True,True,42
0,True,55,4,['B' 'A' 'B' 'A'],True,False,62
0,True,55,4,['B' 'A' 'B' 'A'],False,False,74
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,True,50
0,True,40,5,['B' 'A' 'B' 'A' 'B'],True,False,57
0,True,40,5,['B' 'A' 'B' 'A' 'B'],False,False,58
0,True,45,5,['B' 'A' 'B' 'A' 'A'],True,True,29
0,True,45,5,['B' 'A' 'B' 'A' 'A'],True,False,51
0,True,45,5,['B' 'A' 'B' 'A' 'A'],False,False,54
0,True,50,5,['A' 'A' 'A' 'B' 'B'],True,True,53
0,True,50,5,['A' 'A' 'A' 'B' 'B'],True,False,49
0,True,50,5,['A' 'A' 'A' 'B' 'B'],False,False,59
0,True,55,5,['A' 'B' 'A' 'B' 'B'],True,True,45
0,True,55,5,['A' 'B' 'A' 'B' 'B'],True,False,63
0,True,55,5,['A' 'B' 'A' 'B' 'B'],False,False,68
1,True,40,2,['A' 'A'],True,True,80
1,True,40,2,['A' 'A'],True,False,108
1,True,40,2,['A' 'A'],False,False,107
1,True,45,2,['A' 'A'],True,True,85
1,True,45,2,['A' 'A'],True,False,111
1,True,45,2,['A' 'A'],False,False,126
1,True,50,2,['B' 'B'],True,True,113
1,True,50,2,['B' 'B'],True,False,91
1,True,50,2,['B' 'B'],False,False,99
1,True,55,2,['B' 'A'],True,True,82
1,True,55,2,['B' 'A'],True,False,116
1,True,55,2,['B' 'A'],False,False,116
1,True,40,3,['A' 'A' 'B'],True,True,84
1,True,40,3,['A' 'A' 'B'],True,False,66
1,True,40,3,['A' 'A' 'B'],False,False,66
1,True,45,3,['B' 'B' 'A'],True,True,122
1,True,45,3,['B' 'B' 'A'],True,False,98
1,True,45,3,['B' 'B' 'A'],False,False,88
1,True,50,3,['A' 'B' 'B'],True,True,76
1,True,50,3,['A' 'B' 'B'],True,False,93
1,True,50,3,['A' 'B' 'B'],False,False,74
1,True,55,3,['B' 'B' 'A'],True,True,84
1,True,55,3,['B' 'B' 'A'],True,False,91
1,True,55,3,['B' 'B' 'A'],False,False,89
1,True,40,4,['A' 'B' 'B' 'A'],True,True,59
1,True,40,4,['A' 'B' 'B' 'A'],True,False,50
1,True,40,4,['A' 'B' 'B' 'A'],False,False,63
1,True,45,4,['B' 'B' 'B' 'A'],True,True,75
1,True,45,4,['B' 'B' 'B' 'A'],True,False,55
1,True,45,4,['B' 'B' 'B' 'A'],False,False,69
1,True,50,4,['B' 'B' 'B' 'A'],True,True,116
1,True,50,4,['B' 'B' 'B' 'A'],True,False,72
1,False,50,4,['B' 'B' 'B' 'A'],False,False,149
1,True,55,4,['B' 'A' 'B' 'B'],True,True,48
1,True,55,4,['B' 'A' 'B' 'B'],True,False,92
