seed,converged,num_goals,num_agents,agent_types,use_ep,num_iters
0,True,3,2,['A' 'B'],True,17
0,True,4,2,['A' 'B'],True,15
0,True,5,2,['B' 'A'],True,14
0,True,3,3,['A' 'B' 'B'],True,35
0,True,4,3,['B' 'A' 'B'],True,69
0,False,5,3,['B' 'A' 'B'],True,99
0,True,3,4,['B' 'A' 'B' 'A'],True,32
0,True,4,4,['B' 'A' 'B' 'B'],True,59
0,True,5,4,['A' 'B' 'B' 'A'],True,24
0,False,3,5,['B' 'A' 'B' 'B' 'A'],True,99
0,True,4,5,['A' 'B' 'B' 'A' 'A'],True,54
0,True,5,5,['A' 'B' 'A' 'B' 'B'],True,30
0,True,3,2,['A' 'B'],False,21
0,True,4,2,['A' 'B'],False,21
0,True,5,2,['B' 'A'],False,14
0,False,3,3,['A' 'B' 'B'],False,99
0,True,4,3,['B' 'A' 'B'],False,26
0,True,5,3,['B' 'A' 'B'],False,38
0,True,3,4,['B' 'A' 'B' 'A'],False,70
0,True,4,4,['B' 'A' 'B' 'B'],False,90
0,True,5,4,['A' 'B' 'B' 'A'],False,64
0,False,3,5,['B' 'A' 'B' 'B' 'A'],False,99
0,False,4,5,['A' 'B' 'B' 'A' 'A'],False,99
0,False,5,5,['A' 'B' 'A' 'B' 'B'],False,99
1,True,3,2,['A' 'B'],True,19
1,True,4,2,['B' 'A'],True,11
1,True,5,2,['B' 'A'],True,13
1,True,3,3,['B' 'A' 'A'],True,18
1,True,4,3,['B' 'A' 'A'],True,15
1,False,5,3,['B' 'B' 'B'],True,99
1,True,3,4,['B' 'A' 'A' 'A'],True,17
1,False,4,4,['B' 'B' 'B' 'B'],True,99
1,True,5,4,['B' 'A' 'A' 'A'],True,19
1,False,3,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,4,5,['B' 'A' 'A' 'A' 'B'],True,17
1,False,5,5,['B' 'B' 'B' 'B' 'B'],True,99
1,True,3,2,['A' 'B'],False,17
1,True,4,2,['B' 'A'],False,14
1,True,5,2,['B' 'A'],False,13
1,False,3,3,['B' 'A' 'A'],False,99
1,False,4,3,['B' 'A' 'A'],False,99
1,True,5,3,['B' 'B' 'B'],False,28
1,False,3,4,['B' 'A' 'A' 'A'],False,99
1,False,4,4,['B' 'B' 'B' 'B'],False,99
1,True,5,4,['B' 'A' 'A' 'A'],False,82
1,False,3,5,['B' 'B' 'B' 'B' 'B'],False,99
1,False,4,5,['B' 'A' 'A' 'A' 'B'],False,99
1,False,5,5,['B' 'B' 'B' 'B' 'B'],False,99
2,True,3,2,['A' 'A'],True,14
2,True,4,2,['B' 'A'],True,10
2,True,5,2,['B' 'B'],True,23
2,True,3,3,['B' 'A' 'A'],True,20
2,True,4,3,['B' 'B' 'B'],True,59
2,True,5,3,['A' 'B' 'A'],True,19
2,True,3,4,['B' 'B' 'B' 'A'],True,28
2,True,4,4,['A' 'B' 'A' 'A'],True,19
2,False,5,4,['B' 'B' 'B' 'A'],True,99
2,False,3,5,['A' 'B' 'A' 'A' 'B'],True,99
2,True,4,5,['B' 'B' 'B' 'A' 'A'],True,49
2,False,5,5,['A' 'A' 'A' 'B' 'B'],True,99
2,True,3,2,['A' 'A'],False,13
2,True,4,2,['B' 'A'],False,10
2,True,5,2,['B' 'B'],False,18
2,True,3,3,['B' 'A' 'A'],False,23
2,True,4,3,['B' 'B' 'B'],False,64
2,True,5,3,['A' 'B' 'A'],False,71
2,False,3,4,['B' 'B' 'B' 'A'],False,99
2,False,4,4,['A' 'B' 'A' 'A'],False,99
2,True,5,4,['B' 'B' 'B' 'A'],False,49
2,False,3,5,['A' 'B' 'A' 'A' 'B'],False,99
2,False,4,5,['B' 'B' 'B' 'A' 'A'],False,99
2,False,5,5,['A' 'A' 'A' 'B' 'B'],False,99
3,True,3,2,['A' 'B'],True,13
3,True,4,2,['A' 'A'],True,11
3,True,5,2,['A' 'A'],True,24
3,True,3,3,['A' 'A' 'B'],True,13
3,True,4,3,['A' 'A' 'A'],True,17
3,False,5,3,['A' 'B' 'B'],True,99
3,True,3,4,['A' 'A' 'A' 'B'],True,20
3,True,4,4,['A' 'B' 'B' 'A'],True,15
3,True,5,4,['B' 'A' 'A' 'B'],True,27
3,False,3,5,['A' 'B' 'B' 'A' 'B'],True,99
3,True,4,5,['B' 'A' 'A' 'B' 'B'],True,30
3,True,5,5,['B' 'A' 'A' 'B' 'A'],True,35
3,True,3,2,['A' 'B'],False,17
3,True,4,2,['A' 'A'],False,11
3,True,5,2,['A' 'A'],False,24
3,False,3,3,['A' 'A' 'B'],False,99
3,True,4,3,['A' 'A' 'A'],False,17
3,True,5,3,['A' 'B' 'B'],False,33
3,False,3,4,['A' 'A' 'A' 'B'],False,99
3,True,4,4,['A' 'B' 'B' 'A'],False,29
3,True,5,4,['B' 'A' 'A' 'B'],False,22
3,False,3,5,['A' 'B' 'B' 'A' 'B'],False,99
3,False,4,5,['B' 'A' 'A' 'B' 'B'],False,99
3,False,5,5,['B' 'A' 'A' 'B' 'A'],False,99
4,True,3,2,['A' 'A'],True,22
4,True,4,2,['A' 'A'],True,19
4,True,5,2,['B' 'B'],True,29
4,True,3,3,['A' 'A' 'B'],True,22
4,False,4,3,['B' 'B' 'B'],True,99
4,True,5,3,['A' 'B' 'A'],True,42
4,False,3,4,['B' 'B' 'B' 'B'],True,99
4,True,4,4,['A' 'B' 'A' 'A'],True,46
4,True,5,4,['A' 'A' 'B' 'A'],True,36
4,True,3,5,['A' 'B' 'A' 'A' 'A'],True,52
4,True,4,5,['A' 'A' 'B' 'A' 'A'],True,46
4,True,5,5,['A' 'B' 'A' 'A' 'B'],True,36
4,True,3,2,['A' 'A'],False,22
4,True,4,2,['A' 'A'],False,19
4,False,5,2,['B' 'B'],False,99
4,False,3,3,['A' 'A' 'B'],False,99
4,False,4,3,['B' 'B' 'B'],False,99
4,True,5,3,['A' 'B' 'A'],False,29
4,False,3,4,['B' 'B' 'B' 'B'],False,99
4,True,4,4,['A' 'B' 'A' 'A'],False,56
4,False,5,4,['A' 'A' 'B' 'A'],False,99
4,False,3,5,['A' 'B' 'A' 'A' 'A'],False,99
4,True,4,5,['A' 'A' 'B' 'A' 'A'],False,63
4,False,5,5,['A' 'B' 'A' 'A' 'B'],False,99
5,True,3,2,['B' 'B'],True,18
5,True,4,2,['A' 'B'],True,38
5,True,5,2,['B' 'A'],True,29
5,False,3,3,['A' 'B' 'B'],True,99
5,True,4,3,['B' 'A' 'A'],True,26
5,True,5,3,['B' 'A' 'A'],True,28
5,True,3,4,['B' 'A' 'A' 'A'],True,22
5,True,4,4,['B' 'A' 'A' 'B'],True,88
5,True,5,4,['B' 'A' 'B' 'B'],True,34
5,True,3,5,['B' 'A' 'A' 'B' 'B'],True,25
5,True,4,5,['B' 'A' 'B' 'B' 'A'],True,74
5,True,5,5,['A' 'B' 'A' 'B' 'A'],True,27
5,True,3,2,['B' 'B'],False,46
5,True,4,2,['A' 'B'],False,34
5,True,5,2,['B' 'A'],False,30
5,True,3,3,['A' 'B' 'B'],False,53
5,True,4,3,['B' 'A' 'A'],False,31
5,True,5,3,['B' 'A' 'A'],False,51
5,False,3,4,['B' 'A' 'A' 'A'],False,99
5,True,4,4,['B' 'A' 'A' 'B'],False,31
5,False,5,4,['B' 'A' 'B' 'B'],False,99
5,True,3,5,['B' 'A' 'A' 'B' 'B'],False,47
5,False,4,5,['B' 'A' 'B' 'B' 'A'],False,99
5,False,5,5,['A' 'B' 'A' 'B' 'A'],False,99
6,True,3,2,['A' 'B'],True,16
6,True,4,2,['A' 'A'],True,14
6,True,5,2,['A' 'B'],True,21
6,True,3,3,['A' 'A' 'B'],True,16
6,True,4,3,['A' 'B' 'B'],True,12
6,True,5,3,['B' 'B' 'A'],True,24
